Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7
MWOA_Broker Trial 1,3.141670710055989,19.719000072479247,1.535816673914591,0.8313872370235346,50.0,1,2,3,3,2,2,3,4,10.210999927520751,15.100999927520752,19.820999927520752,17.351000165939332,19.145,13.602000093460083,16.210999927520753,19.710999927520753
MWOA_Broker Trial 2,4.653299397404983,21.11099992752075,1.3032833488782245,0.6680699676041564,50.0,1,1,3,2,1,3,3,6,10.21100016593933,7.210999927520752,13.82099992752075,12.85100016593933,10.21100016593933,17.711000165939332,21.211999855041505,19.600999927520753
MWOA_Broker Trial 3,3.2882994423340977,19.609000072479247,1.4924166775385532,0.8362784050966794,50.0,2,3,2,3,2,3,1,4,8.658999999999999,17.710999927520753,14.877666594187417,19.6,17.21,19.71,16.210999927520753,17.21
MWOA_Broker Trial 4,5.121115962176189,19.75200009346008,1.8247249974250785,0.7800222727395794,50.0,3,2,4,3,2,2,2,2,19.633000020980834,14.1,19.853000020980833,18.963000020980836,17.210999927520753,8.600999927520752,19.183000020980835,5.712000093460083
MWOA_Broker Trial 5,3.9150555303651378,19.61099992752075,1.2739666573206585,0.7774335844859204,50.0,1,2,3,3,2,3,2,4,8.214999876022338,17.711000165939332,19.100999927520753,19.710999927520753,16.100999927520753,13.709999999999999,10.209999999999999,17.210999927520753
MWOA_Broker Trial 6,3.0040918148282394,19.72099992752075,1.3856583203633626,0.7991417811363019,50.0,2,2,4,2,2,3,2,3,15.209999999999999,17.711000165939332,19.820999927520752,14.71100016593933,15.209999999999999,19.600999927520753,10.210999927520751,13.603999948501587
MWOA_Broker Trial 7,3.2213882177148436,21.11,1.268549998950958,0.7548081482941932,50.0,2,2,3,3,2,3,2,3,21.210999927520753,14.210999927520751,19.10500011444092,14.71100016593933,17.21,17.1,10.213999948501586,13.709999999999999
MWOA_Broker Trial 8,3.3249064807014785,19.500999927520752,1.436716651121775,0.7925149141920922,50.0,1,2,2,3,2,4,3,3,10.210999927520751,10.709999999999999,14.881666542689004,19.600999927520753,16.210999927520753,19.600999927520753,15.210999927520751,17.212000093460084
MWOA_Broker Trial 9,3.3865321477868227,21.11100016593933,2.051041669241587,0.7996502554043414,50.0,4,2,2,3,2,3,1,3,19.889499999999998,16.713000020980836,17.544333260854085,16.210999927520753,21.212000093460084,19.6695,10.210999927520751,13.60100016593933
MWOA_Broker Trial 10,3.769376547399237,19.61099992752075,1.3031833322842914,0.7359581385938656,50.0,1,2,2,4,1,2,3,5,10.209999999999999,17.711000165939332,13.1,19.710999927520753,10.209999999999999,13.709999999999999,11.209999999999999,19.600999927520753
MWOA_Broker Trial 11,3.477882787379105,21.11099992752075,1.363216643778483,0.7826962267943077,50.0,1,2,2,3,2,3,3,4,10.212000093460082,16.601000165939332,13.209999999999999,17.43099992752075,21.100999927520753,15.210999927520751,21.210999927520753,17.210999927520753
MWOA_Broker Trial 12,3.8604489641456388,21.220000072479245,1.477599983406067,0.7549442302850777,50.0,4,2,2,3,1,2,3,3,21.320999999999998,20.100999927520753,16.544333260854085,7.85,15.210999927520751,17.210999927520753,16.210999927520753,13.709999999999999
MWOA_Broker Trial 13,4.186129090003031,19.61,1.3851166583696997,0.7866543428277395,50.0,1,3,2,3,2,3,3,3,10.209999999999999,17.71,16.543333333333333,19.600999927520753,7.210999927520752,19.710999927520753,15.21100016593933,17.213000020980836
MWOA_Broker Trial 14,4.66400032131856,21.10999976158142,1.4767833250363664,0.7074490838957654,50.0,1,1,2,2,3,3,4,4,10.21100016593933,7.1069999694824215,13.100999927520752,14.709999999999999,21.210999927520753,20.210999927520753,19.212000093460084,13.710999927520751
MWOA_Broker Trial 15,4.742217842203057,21.109000072479247,1.4268999953269959,0.7636908418066131,50.0,2,2,1,3,2,3,2,5,19.211000165939332,15.209999999999999,5.101000165939331,19.710999927520753,17.100999927520753,13.709999999999999,21.21,17.712000093460084
MWOA_Broker Trial 16,3.585722213431966,19.664666811625164,1.4105666298548376,0.8001894169196734,50.0,2,2,3,4,2,2,2,3,11.32099992752075,17.71,19.76666666666667,18.850999927520753,16.210999927520753,8.601999855041504,16.210999927520753,17.210999927520753
