Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7
WOA_Broker Trial 1,4.082539396774252,20.11100016593933,1.3349166490236914,0.7421684576743051,50.0,1,1,2,2,2,5,2,5,10.210999927520751,9.210999927520751,13.209999999999999,12.43,15.210999927520751,20.211000165939332,19.210999927520753,19.710999927520753
WOA_Broker Trial 2,2.579456350084865,21.112000093460082,1.4032833250363665,0.8035832671176326,50.0,2,3,2,2,2,3,3,3,17.212000093460084,17.710999927520753,13.82099992752075,12.85100016593933,21.213000020980836,19.600999927520753,16.100999927520753,17.212000093460084
WOA_Broker Trial 3,3.1340854189041036,19.776666666666667,1.4140833156903585,0.8207694221744444,50.0,1,2,3,2,3,3,2,4,10.210999927520751,17.600999927520753,19.877666832606,18.961999855041505,19.181999855041504,14.210999927520751,16.210999927520753,13.600999927520752
WOA_Broker Trial 4,4.1465781645435,19.60899983406067,1.272483322938283,0.7534125537829736,50.0,1,1,3,4,2,2,2,5,10.100999927520752,7.100999927520752,17.544333260854085,19.6,15.210999927520751,13.71100016593933,15.210999927520751,19.71
WOA_Broker Trial 5,3.7114888783974913,20.11,1.2769500036239623,0.7729674298510749,50.0,1,2,3,2,1,4,3,4,10.209999999999999,16.711000165939332,13.103000020980835,16.1,10.209999999999999,20.21,18.1,19.710999927520753
WOA_Broker Trial 6,3.1684403234777108,19.780666615168254,1.301416663519541,0.8180125368158212,50.0,1,2,3,3,3,3,2,3,10.209999999999999,15.210999927520751,19.881666542689008,18.892,18.211999855041505,14.216999969482421,19.112,13.710999927520751
WOA_Broker Trial 7,3.123601617719846,21.000999927520752,1.2936166583696997,0.7820560151100835,50.0,1,2,2,3,2,3,3,4,10.210999927520751,14.210999927520751,14.877666594187417,18.962000093460084,21.100999927520753,16.605999803543092,18.212000093460084,17.211000165939332
WOA_Broker Trial 8,3.7118014849241923,20.109000072479247,1.2880666619936623,0.773695852084324,50.0,1,2,4,2,1,3,3,4,10.210999927520751,16.600999927520753,19.210999927520753,13.710999927520751,10.210999927520751,20.21,19.210999927520753,15.1
WOA_Broker Trial 9,4.651352152581868,20.110999689102172,1.3198833203633622,0.7343410844196597,50.0,1,3,2,2,2,4,3,3,10.210999927520751,16.71,14.876666666666665,16.210999927520753,5.112000000000001,20.211999855041505,15.21100016593933,19.603000020980836
WOA_Broker Trial 10,4.589066366649895,19.61100016593933,1.5921333167393996,0.7236924791917593,50.0,2,3,1,5,1,3,3,2,11.772999927520749,17.600999927520753,12.877666832605996,19.711000165939332,10.210999927520751,16.600999927520753,19.113,5.650999927520753
WOA_Broker Trial 11,4.352980325606197,21.113000020980834,1.2658833177884419,0.7180153600309885,50.0,1,2,3,4,1,3,3,3,6.100999927520752,15.210999927520751,19.768666760126752,12.85,15.210999927520751,17.21,21.213000020980836,13.710999927520751
WOA_Broker Trial 12,3.8536612138922854,21.000999927520752,1.247833345254262,0.7276498758386513,50.0,1,1,4,4,2,3,2,3,10.210999927520751,9.209999999999999,16.462000093460084,18.850999927520753,21.100999927520753,17.60500011444092,15.210999927520751,13.6
WOA_Broker Trial 13,3.673144568836317,21.002000093460083,1.290766659418742,0.759161823285547,50.0,1,2,3,3,2,3,3,3,8.210999927520751,17.710999927520753,16.544333499272664,18.851000165939332,17.210999927520753,14.209999999999999,21.102000093460084,13.710999927520751
