Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9
MWOA_Broker Trial 1,5.18548384393431,33.11,2.1023110969331524,0.734207187411793,50.0,5,3,4,3,3,2,2,3,2,3,31.696,23.821999855041504,19.710999927520753,30.210999927520753,22.211000165939332,21.210999927520753,33.21,23.711999855041505,18.101000165939332,19.210999927520753
MWOA_Broker Trial 2,4.676177226037546,33.11,1.848033327102661,0.789123123750386,50.0,4,3,2,2,3,2,3,4,3,4,28.711999855041505,23.87766659418742,16.21,27.211000165939332,22.210999927520753,23.210999927520753,30.211999855041505,26.211000165939332,33.21099992752075,30.211999855041505
MWOA_Broker Trial 3,7.62669745931034,33.11100016593933,2.086999989191691,0.6383145545924969,50.0,7,4,2,1,2,2,5,2,2,3,25.507666666666665,23.87666666666667,14.712000093460082,15.210999927520751,13.6,27.100999927520753,33.212000093460084,8.709999999999999,19.210999927520753,30.210999927520753
MWOA_Broker Trial 4,4.1252380291901245,31.11100016593933,1.823888903384738,0.8278433089120826,50.0,3,3,3,3,2,3,3,4,3,3,24.432,21.544333260854085,19.71,27.1,19.71,25.210999927520753,30.210999927520753,31.211000165939332,30.210999927520753,28.21
MWOA_Broker Trial 5,3.3690533770262783,31.11100016593933,1.8082333326339717,0.8582934185668135,50.0,3,3,2,3,3,3,3,4,3,3,24.21,28.87766659418742,18.960999927520753,27.210999927520753,31.211000165939332,30.21,28.21,27.711000165939332,26.212000093460084,24.21
MWOA_Broker Trial 6,3.5668398732458337,31.11099992752075,1.7066110834545554,0.8430319400334134,50.0,3,3,3,3,3,2,3,3,4,3,22.320999927520752,26.87766659418742,25.210999927520753,23.210999927520753,19.603000020980836,30.21,27.210999927520753,31.210999927520753,30.21,26.21
MWOA_Broker Trial 7,4.113757163125492,30.11,1.762466662152608,0.8657079601530668,50.0,2,3,4,2,4,3,2,4,3,3,22.711999855041505,23.767666832606,30.21,27.211000165939332,26.210999927520753,30.21,16.211000165939332,27.710999927520753,26.210999927520753,30.21
MWOA_Broker Trial 8,6.875013304484283,30.445333426793415,1.7813444596396546,0.743872074957889,50.0,5,4,2,3,2,3,3,3,2,3,28.711000165939332,30.545333426793416,12.850999927520752,27.211999855041505,22.21,21.100999927520753,30.211000165939332,17.211000165939332,10.210999927520751,26.210999927520753
MWOA_Broker Trial 9,5.782692755119022,31.11099992752075,1.8496888809416026,0.7740209806519036,50.0,5,4,3,3,1,2,3,3,3,3,31.210999927520753,28.87766659418742,18.850999927520753,30.211000165939332,13.710999927520751,25.100999927520753,28.211000165939332,22.210999927520753,26.211000165939332,16.21
MWOA_Broker Trial 10,4.095620209004053,33.11100016593933,1.71926666355133,0.7788559660399041,50.0,3,3,4,3,3,2,2,3,3,4,27.710999927520753,28.210999927520753,25.100999927520753,27.1,23.710999927520753,19.211000165939332,21.21,22.211000165939332,30.21,33.21100016593933
