Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9
SA_Broker Trial 1,9.342110090371715,33.11,1.8366083333333327,0.6835661431591664,0.0,2,2,6,3,3,0,3,3,3,5,15.212999999999997,28.21,26.35,30.21,22.61575,-1.0,19.21,24.1,28.21,33.21
SA_Broker Trial 2,9.041147106424052,33.11,2.073111111111111,0.6813752139333535,0.0,1,1,4,3,2,3,6,2,4,4,13.6,2.4333333333333336,25.21,30.21,22.6,15.209999999999999,30.21,28.71,33.21,24.21
SA_Broker Trial 3,10.954178243939616,33.11,1.8276666666666663,0.6389912413168227,0.0,1,5,3,0,2,3,5,5,3,3,5.610000000000001,13.1,28.71,-1.0,26.6,33.21,30.21,23.71,30.21,21.21
SA_Broker Trial 4,5.964206904526368,33.11,1.8202222222222217,0.7165206886137119,0.0,2,5,2,3,1,2,4,6,2,3,15.209999999999999,28.21,26.35,24.21,19.71,33.21,17.21,26.71,16.21,30.21
SA_Broker Trial 5,6.813139070942263,31.11,1.8793111111111107,0.7588342440801457,0.0,1,4,5,2,5,2,4,1,2,4,24.21,21.543333333333333,22.35,28.21,31.21,16.21,30.21,23.71,8.209999999999999,30.21
SA_Broker Trial 6,7.322905077752804,31.110000000000003,1.9006088888888883,0.7595531983285116,0.0,5,3,2,3,1,2,1,6,2,5,25.543366666666667,25.543366666666667,26.350033333333336,24.210033333333335,8.710033333333332,23.100033333333336,11.210033333333332,31.210033333333335,30.210033333333335,30.210033333333335
SA_Broker Trial 7,5.2877201136217495,31.110000000000003,1.5092222222222216,0.7915150541090752,0.0,4,3,5,1,3,2,2,4,2,4,23.710033333333335,23.820033333333335,26.350033333333336,21.210033333333335,14.210033333333332,30.210033333333335,18.100033333333336,31.210033333333335,30.210033333333335,27.210033333333335
SA_Broker Trial 8,9.529847620327761,31.110000000000003,1.8776666666666662,0.7132015429122469,0.0,1,4,3,4,1,5,1,5,3,3,5.7100333333333335,28.876700000000003,22.430033333333334,28.210033333333335,26.710033333333335,30.210033333333335,3.1000333333333336,31.210033333333335,26.210033333333335,19.21003333333333
SA_Broker Trial 9,6.638792761740145,30.44333333333333,1.6321722222222215,0.7874082995729772,0.0,1,7,3,3,3,3,1,4,4,1,19.71,30.543333333333333,23.71,24.21,15.209999999999999,30.21,10.1,28.71,30.21,27.1
SA_Broker Trial 10,6.365988061565935,31.110000000000003,1.822222222222222,0.755792349726776,0.0,6,1,5,1,3,3,1,2,5,3,31.210033333333335,19.876700000000003,25.100033333333336,26.210033333333335,29.210033333333335,19.180033333333334,10.210033333333332,26.710033333333335,30.210033333333335,17.210033333333335
SA_Broker Trial 11,7.165895010787208,33.11,1.964619444444444,0.7111856941508103,0.0,2,1,4,3,2,2,5,4,4,3,30.1,10.543333333333333,22.36025,25.21,15.209999999999999,15.209999999999999,30.21,26.21,33.21,27.21
SA_Broker Trial 12,6.520275352058889,31.0,1.8581111111111108,0.7190537634408601,0.0,3,2,6,2,2,3,3,3,3,3,28.71,23.87666666666667,28.6,11.209999999999999,13.6,24.21,19.18,31.1,16.21,26.21
SA_Broker Trial 13,8.680124704749351,33.11,2.1172999999999993,0.6659297291855433,0.0,3,1,4,8,1,5,1,2,4,1,29.269033333333333,8.210033333333332,28.650033333333333,33.210033333333335,22.600033333333336,24.210033333333335,15.210033333333332,26.710033333333335,26.210033333333335,6.2100333333333335
SA_Broker Trial 14,5.717138826919168,30.000000000000004,1.6579272222222214,0.747736,0.0,1,5,4,4,3,4,3,3,2,1,13.6505,28.210033333333335,30.100033333333336,16.100033333333332,27.710033333333335,26.210033333333335,27.210033333333335,19.710033333333335,18.210033333333335,17.210033333333335
SA_Broker Trial 15,9.57670764581092,31.11,2.1286666666666663,0.7375334833386906,0.0,3,4,1,4,0,6,4,2,2,4,23.71,28.87666666666667,13.6,19.21,-1.0,30.21,25.21,31.21,30.21,28.21
SA_Broker Trial 16,9.502312985432665,31.110000000000003,2.0685733333333336,0.6821565413050465,0.0,1,4,1,7,6,4,2,0,3,2,31.210033333333335,27.656666666666666,19.702,30.210033333333335,28.710033333333335,11.210033333333332,24.210033333333335,-1.0,23.100033333333336,17.210033333333335
SA_Broker Trial 17,6.386623390597988,33.11,1.933333333333333,0.7067854625994161,0.0,3,3,3,3,4,2,5,2,1,4,26.21,26.87666666666667,27.96,24.21,24.21,18.21,27.21,10.709999999999999,15.209999999999999,33.21
SA_Broker Trial 18,11.517358188022596,33.11,2.1102222222222218,0.6204982381959127,0.0,2,1,0,3,4,3,5,4,6,2,5.7100333333333335,6.8767000000000005,-1.0,21.210033333333335,27.710033333333335,27.100033333333336,33.210033333333335,24.210033333333335,30.210033333333335,30.210033333333335
SA_Broker Trial 19,7.551477184410125,31.0,1.6258888888888885,0.7374301075268818,0.0,4,3,6,1,4,2,5,3,1,1,31.1,22.543333333333333,28.6,3.21,28.71,24.21,21.21,17.6,26.21,25.21
SA_Broker Trial 20,7.258136468818978,31.11,2.021333333333333,0.769366763098682,0.0,4,2,2,2,2,2,3,4,2,7,14.209999999999999,8.819999999999999,22.35,30.21,19.71,27.21,30.21,31.21,25.21,30.21
