Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Num. Cloudlets VM-10,Num. Cloudlets VM-11,Num. Cloudlets VM-12,Num. Cloudlets VM-13,Num. Cloudlets VM-14,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9,Processing Time VM-10,Processing Time VM-11,Processing Time VM-12,Processing Time VM-13,Processing Time VM-14
MWOA_Broker Trial 1,12.14366702343058,43.11200009346008,2.656195829947789,0.6884489483057412,50.0,3,2,3,2,2,2,2,2,3,1,5,2,3,0,8,33.663,38.713000020980836,37.8796666876475,31.964000186920167,30.212000093460084,26.711999855041505,34.213000020980836,38.212000093460084,31.6425,8.210999927520751,16.210999927520753,33.147,42.213000020980836,-1.0,43.213000020980836
MWOA_Broker Trial 2,6.7370481874486785,42.11099968910217,2.325183320363362,0.7877134293240372,50.0,2,2,2,2,2,2,2,2,2,3,4,7,2,4,2,39.212000093460084,33.102000093460084,31.545333188374837,23.710999927520753,37.212000093460084,39.212000093460084,39.212000093460084,42.211999855041505,31.213000020980836,37.8796666876475,38.211999855041505,30.211999855041505,30.211999855041505,28.212000093460084,16.211999855041505
MWOA_Broker Trial 3,8.141463100514917,42.1119998550415,2.1773249769210805,0.7690513153882531,50.0,2,1,1,2,2,3,2,2,4,4,6,2,4,3,2,39.213000020980836,24.211000165939332,22.87866676012675,21.210999927520753,32.102000093460084,38.211999855041505,37.211999855041505,34.211999855041505,13.60100016593933,37.8796666876475,30.211999855041505,42.213000020980836,42.213000020980836,37.211999855041505,33.212000093460084
MWOA_Broker Trial 4,8.030962662244116,43.050999906539914,2.2189083574136093,0.7525776938254982,50.0,2,1,2,3,1,2,2,2,4,3,3,3,6,2,4,39.212000093460084,14.212000093460082,25.545333188374837,39.962000093460084,21.210999927520753,23.711999855041505,27.103000020980836,34.211999855041505,31.603000020980836,38.212000093460084,43.153,39.212000093460084,37.213000020980836,38.212000093460084,33.21399994850159
MWOA_Broker Trial 5,7.648777552885679,43.11100016593933,2.2234666329542785,0.7168704008438621,50.0,3,2,2,2,2,3,1,1,5,4,4,2,2,3,4,40.719,26.710999927520753,32.87866676012675,34.87966644922892,32.212000093460084,29.211999855041505,21.210999927520753,21.210999927520753,33.713000020980836,34.87966644922892,16.101000165939332,42.211999855041505,26.210999927520753,28.212000093460084,43.212000093460084
MWOA_Broker Trial 6,7.362109407903357,43.11100016593933,2.1740083268483477,0.7416859290245502,50.0,2,3,2,3,1,3,2,3,3,3,3,1,2,4,5,28.212000093460084,38.212000093460084,40.102000093460084,34.43200009346008,25.211999855041505,38.711999855041505,30.211999855041505,34.212000093460084,27.711999855041505,32.54533318837484,21.211999855041505,24.211000165939332,19.210999927520753,42.213000020980836,43.212000093460084
MWOA_Broker Trial 7,8.016567738592416,39.86200009346008,2.2044333144028974,0.7659603386254893,50.0,1,1,2,2,3,2,1,5,1,6,2,5,1,6,2,23.101999855041505,28.713000020980836,23.87866676012675,39.963000020980836,39.211999855041505,17.710999927520753,33.213000020980836,30.213000020980836,13.712000093460082,38.212000093460084,39.211999855041505,37.211999855041505,30.213000020980836,26.212000093460084,37.211999855041505
MWOA_Broker Trial 8,8.752822914830974,42.050999999999995,2.1661500090599057,0.7545324597764871,50.0,2,2,2,2,2,3,3,2,5,4,2,2,5,1,3,39.212000093460084,33.21399994850159,35.103000020980836,39.96399994850159,32.213000020980836,31.213000020980836,30.212999782562257,39.212000093460084,27.712000093460084,37.87866676012675,37.213000020980836,24.212000093460084,42.150999999999996,16.210999927520753,10.21100016593933
MWOA_Broker Trial 9,9.282082869757406,42.11100016593933,2.275316667954127,0.7644943637577243,50.0,2,2,2,2,5,2,2,3,3,3,2,2,5,3,2,39.213000020980836,31.602000093460084,28.879666687647504,30.212000093460084,34.211999855041505,39.213000020980836,37.21399994850159,42.212000093460084,38.21100016593933,12.877666832605996,38.21100016593933,30.212000093460084,28.212000093460084,42.212000093460084,10.210999927520751
MWOA_Broker Trial 10,8.43072682889034,42.112999782562255,2.0981999976634977,0.7339433351502118,50.0,2,2,3,3,3,1,2,3,3,4,2,1,4,3,4,18.212000093460084,38.21299978256226,28.878666521708173,38.432999782562256,42.21399994850159,22.212000093460084,21.210999927520753,37.212000093460084,39.213000020980836,37.88066661516825,16.210999927520753,26.210999927520753,25.102000093460084,38.21299978256226,34.212000093460084
MWOA_Broker Trial 11,6.276502980327587,40.61200009346008,2.2447333167393997,0.8013674096138291,50.0,2,2,1,2,4,3,1,2,2,6,2,1,4,2,6,39.213000020980836,26.712000093460084,19.210999927520753,30.210999927520753,39.213000020980836,40.712000093460084,30.210999927520753,30.210999927520753,29.212000093460084,38.212000093460084,24.210999927520753,28.211999855041505,38.212000093460084,37.211999855041505,37.211999855041505
MWOA_Broker Trial 12,8.041660814657158,43.11099992752075,2.7859333276112874,0.7511947208723402,50.0,4,2,2,2,1,2,3,3,3,2,2,1,4,1,8,34.432,38.212000093460084,32.87866652170817,22.352000093460084,30.212000093460084,17.710999927520753,42.212000093460084,42.212000093460084,38.711999855041505,34.8796666876475,37.212000093460084,26.11,21.211999855041505,24.212000093460084,43.211999855041505
MWOA_Broker Trial 13,8.261497948098754,42.11200009346008,2.0225833035310106,0.7155875311062989,50.0,1,2,1,2,2,4,1,3,6,4,1,3,3,2,5,17.213000020980836,33.212000093460084,22.879666687647504,25.211999855041505,39.213000020980836,38.21299978256226,30.211999855041505,25.211999855041505,33.713000020980836,37.88066661516825,24.210999927520753,21.211999855041505,42.213000020980836,19.213000020980836,42.213000020980836
MWOA_Broker Trial 14,11.093735130921702,43.11099992752075,2.1600083149274183,0.6253830561033856,50.0,1,2,2,1,3,4,1,1,3,6,1,5,1,6,3,17.213999948501588,26.711999855041505,31.54733328183492,21.213000020980836,30.211000165939332,38.713000020980836,10.213000020980834,30.211000165939332,24.101999855041505,38.213000020980836,3.211999855041504,42.213000020980836,28.213000020980836,19.212000093460084,43.21399994850159
MWOA_Broker Trial 15,7.023662976800127,40.61200009346008,2.3480750067234033,0.8144691758031738,50.0,2,1,2,4,2,2,1,2,2,3,3,5,2,6,3,39.211999855041505,20.212000093460084,37.8796666876475,31.353000020980836,34.212000093460084,40.712000093460084,25.213000020980836,18.212000093460084,39.211999855041505,37.8796666876475,26.213000020980836,37.212000093460084,38.211999855041505,33.212000093460084,37.212000093460084
MWOA_Broker Trial 16,8.076832518729159,43.1119998550415,2.4002916459242503,0.7349116534144216,50.0,2,2,2,2,4,1,3,1,4,3,2,3,2,1,8,25.21499987602234,31.603000020980836,38.54633335431417,37.71399994850159,42.212000093460084,15.211999855041503,42.212000093460084,28.213000020980836,27.712000093460084,30.55333332379659,37.212000093460084,30.212000093460084,43.211999855041505,24.211999855041505,21.211999855041505
MWOA_Broker Trial 17,10.228931913071888,43.11099992752075,2.436041655222574,0.6963791146886714,50.0,2,1,2,2,2,2,2,2,4,2,6,1,9,1,2,39.213000020980836,24.211999855041505,37.8796666876475,39.96399994850159,32.102000093460084,35.713000020980836,34.213000020980836,30.211999855041505,4.21,30.546333354314168,28.212000093460084,30.211999855041505,43.211999855041505,10.210999927520751,30.211999855041505
MWOA_Broker Trial 18,7.484031746167114,42.11100016593933,2.146208318551381,0.7786622089122264,50.0,2,2,2,2,2,5,2,2,3,4,3,2,4,3,2,39.213000020980836,38.213000020980836,38.213000020980836,25.211999855041505,42.212000093460084,29.211999855041505,38.213000020980836,37.212000093460084,33.213000020980836,37.87966644922892,15.211999855041503,37.212000093460084,33.213000020980836,21.211999855041505,26.211999855041505
MWOA_Broker Trial 19,7.858646676343492,42.11100016593933,2.3923916746775302,0.7877424451788183,50.0,2,2,2,2,2,2,2,2,5,1,6,1,7,1,3,39.212000093460084,26.712000093460084,37.87966644922892,34.963000020980836,32.102000093460084,29.211999855041505,21.21,42.212000093460084,39.212000093460084,12.877666832605996,42.212000093460084,30.21,37.15,38.21299978256226,34.212000093460084
MWOA_Broker Trial 20,8.89265890144783,42.11099992752075,2.256333312590917,0.7090820825457659,50.0,2,1,3,2,1,3,5,1,5,2,2,1,4,2,6,39.213000020980836,20.101999855041505,37.87866676012675,25.211999855041505,25.211999855041505,31.212000093460084,30.210999927520753,24.210999927520753,23.712000093460084,37.87866676012675,16.212000093460084,15.212000093460082,42.211999855041505,37.211999855041505,42.211999855041505
MWOA_Broker Trial 21,7.2768467830878345,42.11099992752075,2.167233322699864,0.764053203936214,50.0,2,2,2,2,1,2,2,2,5,3,4,2,4,3,4,39.211999855041505,31.602000093460084,38.213000020980836,21.211000165939332,21.211000165939332,35.711999855041505,27.212000093460084,30.211999855041505,39.211999855041505,26.768666521708173,34.212000093460084,39.211999855041505,42.212000093460084,37.211999855041505,19.211999855041505
MWOA_Broker Trial 22,6.476119476993732,42.11100016593933,2.2878416482607515,0.7776009931992504,50.0,1,2,2,2,2,2,1,2,2,6,2,3,5,1,7,23.101999855041505,31.602000093460084,38.43533318837484,37.211999855041505,39.213000020980836,28.711999855041505,25.211000165939332,42.212000093460084,33.212000093460084,40.212000093460084,37.211999855041505,37.211999855041505,21.212000093460084,30.212000093460084,26.212000093460084
MWOA_Broker Trial 23,9.130940134567194,43.11099992752075,2.330149995326995,0.7281168261111667,50.0,2,2,4,3,2,1,2,3,2,3,4,1,3,5,3,39.212000093460084,38.213000020980836,40.211999855041505,32.713000020980836,30.211999855041505,17.210999927520753,27.211000165939332,10.21100016593933,27.711999855041505,34.87866676012675,37.211999855041505,26.211999855041505,24.212000093460084,43.213000020980836,42.213000020980836
MWOA_Broker Trial 24,10.048248224943448,43.11100016593933,2.0954666752020517,0.6840466061710996,50.0,2,1,2,3,2,2,2,5,1,8,3,1,2,4,2,39.102000093460084,20.212000093460084,40.213000020980836,37.601999855041505,34.212000093460084,26.210999927520753,32.103000020980836,43.212000093460084,17.211000165939332,35.211999855041505,3.210999927520752,26.210999927520753,24.213000020980836,30.211000165939332,33.213000020980836
MWOA_Broker Trial 25,9.096531346805412,43.11099992752075,2.492008320887883,0.680092991141614,50.0,1,2,1,2,2,2,1,2,4,2,3,1,8,3,6,23.102000093460084,31.60399994850159,19.212000093460084,37.712000093460084,34.21099992752075,29.212000093460084,21.210999927520753,27.213000020980836,38.713000020980836,21.545333426793416,16.210999927520753,16.210999927520753,42.211999855041505,43.21099992752075,38.212000093460084
MWOA_Broker Trial 26,8.917090137958272,43.11099992752075,2.4336166464487707,0.7382544808655586,50.0,2,2,3,2,3,2,2,1,2,3,3,2,4,2,7,39.213000020980836,31.603000020980836,37.87866652170817,25.211999855041505,42.212000093460084,33.212000093460084,33.212000093460084,10.210999927520751,27.710999927520753,22.87866676012675,21.211000165939332,30.211999855041505,37.21299978256226,42.212000093460084,43.211999855041505
MWOA_Broker Trial 27,11.993317251988504,43.113000020980834,2.137149989366531,0.6614163803617188,50.0,2,2,2,2,3,2,5,1,3,7,2,4,2,1,2,39.212000093460084,38.212000093460084,32.87866652170817,23.710999927520753,42.21299978256226,16.711000165939332,26.212000093460084,28.212000093460084,17.210999927520753,35.101999855041505,42.21299978256226,43.213000020980836,30.212000093460084,7.210999927520752,5.210999927520752
MWOA_Broker Trial 28,11.4393370704724,43.11099968910217,2.569658310254414,0.6253567705274803,50.0,2,2,2,1,2,2,1,2,1,3,7,1,9,1,4,39.212000093460084,26.712000093460084,13.877666594187417,25.210999927520753,21.213000020980836,22.600999927520753,25.210999927520753,10.210999927520751,17.210999927520753,6.877666594187419,34.211999855041505,42.212000093460084,43.211999855041505,39.212000093460084,37.21100016593933
MWOA_Broker Trial 29,9.912607060059193,43.11200009346008,2.3713666441122685,0.6432202405935066,50.0,1,2,1,3,2,1,2,2,5,2,1,5,7,1,5,23.210999927520753,26.713000020980836,26.823000020980835,27.961999855041505,32.103000020980836,13.601999855041504,21.210999927520753,39.212000093460084,38.211999855041505,22.87866676012675,28.181999855041504,24.212000093460084,43.213000020980836,6.210999927520752,42.211999855041505
MWOA_Broker Trial 30,10.815833567985903,43.11099992752075,2.401908308442433,0.7299163152556886,50.0,2,2,3,2,2,2,2,2,2,3,3,1,10,2,2,39.212000093460084,31.602000093460084,13.82099992752075,37.713000020980836,10.210999927520751,38.211999855041505,37.21100016593933,38.211999855041505,33.211999855041505,26.546333354314168,43.212000093460084,33.211999855041505,42.213000020980836,37.21100016593933,10.210999927520751

