Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Num. Cloudlets VM-10,Num. Cloudlets VM-11,Num. Cloudlets VM-12,Num. Cloudlets VM-13,Num. Cloudlets VM-14,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9,Processing Time VM-10,Processing Time VM-11,Processing Time VM-12,Processing Time VM-13,Processing Time VM-14
SA_Broker Trial 1,13.039176448527774,43.11,2.4725833333333327,0.5622933838500993,0.0,3,3,6,1,5,1,1,2,2,0,7,5,1,2,1,32.100025,38.710025,28.87669166666667,10.430024999999997,39.210025,9.210025,27.100025000000002,15.210025,23.710025,-1.0,42.210025,43.210025,10.210024999999998,23.210025,21.210025
SA_Broker Trial 2,12.760439666214507,42.11,2.1580987499999993,0.7040191297923429,0.0,1,2,6,3,4,2,4,1,4,1,3,5,1,3,0,34.210025,23.710025,37.876691666666666,5.460025,42.210025,35.710025,37.210025,18.210025,38.600025,37.876691666666666,23.100025000000002,32.100025,37.210025,42.210025,-1.0
SA_Broker Trial 3,10.969006747405686,43.11,2.499315416666666,0.6895141885100132,0.0,4,2,2,2,4,3,2,2,3,2,2,2,1,3,6,38.210025,5.710025,32.876691666666666,26.430025,43.210025,20.210025,42.210025,16.214,31.210025,25.543358333333334,39.210025,17.210025,26.210025,39.210025,42.210025
SA_Broker Trial 4,7.232437220477489,43.11,2.2572654166666664,0.7695822701616023,0.0,3,2,2,6,2,3,1,2,3,1,3,2,2,3,5,16.210025,38.210025,31.543358333333334,37.710025,27.210025,28.710025,42.210025,26.210025,35.710025,23.87669166666667,33.210025,37.210025,39.210025,37.210025,43.210025
SA_Broker Trial 5,11.562316015080741,43.11,2.549683333333333,0.6930085826954304,0.0,2,2,2,3,2,3,3,2,0,1,2,4,5,6,3,30.21,9.709999999999999,25.543333333333333,34.96,30.21,31.21,39.21,32.21,-1.0,23.87666666666667,42.21,39.21,43.21,37.153999999999996,30.21
SA_Broker Trial 6,14.700850770427989,42.11,1.9974999999999994,0.6705248027652446,0.0,4,4,2,4,0,2,0,1,4,4,3,1,3,3,5,37.210025,39.210025,34.876691666666666,22.350025000000002,-1.0,28.710025,-1.0,42.210025,33.710025,38.210025,39.210025,3.210025,34.210025,33.210025,39.210025
SA_Broker Trial 7,12.652927624658796,43.11,2.1336243749999992,0.6571875821541793,0.0,1,1,7,2,2,5,0,4,1,2,2,5,3,2,3,42.210025,26.210025,32.54335833333334,38.350025,33.210025,28.600025000000002,-1.0,43.210025,5.710025,34.876691666666666,25.210025,24.210025,42.210025,15.210025,34.210025
SA_Broker Trial 8,14.146783809582363,43.11,2.4670916666666662,0.6398108198664915,0.0,2,4,1,0,3,5,5,3,0,3,2,1,4,4,3,11.209999999999999,26.767,31.543333333333333,-1.0,24.21,33.1,43.21,37.21,-1.0,38.54333333333334,26.21,21.1,38.21,42.21,42.21
SA_Broker Trial 9,10.82382634075468,43.11,2.1462666666666665,0.6814335421016007,0.0,2,2,4,3,1,2,3,2,1,5,3,5,2,3,2,6.32,13.6,33.095666666666666,23.71,30.21,22.21,34.21,39.21,27.71,38.43333333333334,43.21,42.21,17.21,42.21,27.1
SA_Broker Trial 10,11.470754673890479,40.61,2.105239583333333,0.7022291991572959,0.0,1,4,3,4,3,4,1,4,3,2,2,1,4,2,2,27.21,31.6,14.876666666666665,37.76625,33.21,40.71,3.21,38.21,28.71,38.21,39.21,8.209999999999999,30.21,19.21,37.21
