Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Num. Cloudlets VM-10,Num. Cloudlets VM-11,Num. Cloudlets VM-12,Num. Cloudlets VM-13,Num. Cloudlets VM-14,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9,Processing Time VM-10,Processing Time VM-11,Processing Time VM-12,Processing Time VM-13,Processing Time VM-14
WOA_Broker Trial 1,7.592479955672616,43.11100016593933,2.348225009059905,0.7617504153809657,50.0,2,2,3,3,2,3,1,2,3,3,3,2,5,2,4,39.213000020980836,19.713000020980836,37.87866676012675,39.963000020980836,28.212000093460084,29.212000093460084,30.210999927520753,25.212000093460084,22.102000093460084,22.87866676012675,43.212000093460084,42.153999999999996,37.212000093460084,37.212000093460084,38.212000093460084
WOA_Broker Trial 2,6.671661600617896,42.052000072479245,2.2300916536966957,0.7756523648058801,50.0,1,3,2,3,3,4,1,2,2,4,6,2,2,3,2,21.211999855041505,38.71299978256226,28.768666521708173,39.962000093460084,34.212000093460084,38.212000093460084,25.212000093460084,21.211999855041505,39.213000020980836,32.54633311589559,30.211999855041505,42.153,26.211999855041505,38.212000093460084,33.21400018692017
WOA_Broker Trial 3,10.194202465638524,43.11200009346008,2.175974995851516,0.6821751091179007,50.0,1,1,1,3,2,2,3,2,3,6,4,2,2,5,3,18.210999927520753,24.211000165939332,21.545333188374837,19.712000093460084,34.211999855041505,23.711000165939332,39.21299978256226,42.212000093460084,38.212000093460084,26.87866676012675,42.212000093460084,11.212000093460082,37.212000093460084,43.213000020980836,19.182000093460083
WOA_Broker Trial 4,11.061831181671863,43.11200009346008,1.9487333348592117,0.6034329184885238,50.0,1,2,3,3,1,1,1,2,2,10,1,5,2,2,4,17.211000165939332,26.60999999046326,35.21699996948242,34.35399994850159,15.211999855041503,17.211000165939332,16.211000165939332,7.211000165939331,27.712000093460084,40.21399994850159,10.212000093460082,39.21399994850159,30.213000020980836,30.213000020980836,43.213000020980836
WOA_Broker Trial 5,8.59001661959191,40.61200009346008,2.2816499834060666,0.7514976393861925,50.0,2,2,1,2,3,3,2,1,5,2,5,5,1,3,3,39.212000093460084,33.21399994850159,19.210999927520753,37.713000020980836,38.211999855041505,35.601999855041505,32.103000020980836,21.210999927520753,40.713000020980836,30.545333188374837,37.212000093460084,26.210999927520753,30.212000093460084,28.211999855041505,8.214000186920165
WOA_Broker Trial 6,9.898713712233565,40.11099992752075,1.9878666762510933,0.7366868066655599,50.0,2,2,2,3,2,2,3,1,5,5,2,3,2,1,5,39.213000020980836,31.603000020980836,40.212000093460084,39.213000020980836,39.213000020980836,28.712999782562257,28.212000093460084,30.211999855041505,23.711000165939332,34.87866676012675,37.212000093460084,34.211999855041505,10.210999927520751,16.212000093460084,10.210999927520751
WOA_Broker Trial 7,9.274355591075633,42.11099992752075,2.2834416591326394,0.7486584404498865,50.0,2,2,2,2,2,2,2,2,3,3,4,1,7,2,4,39.211999855041505,31.602000093460084,37.87866676012675,26.43100016593933,34.211999855041505,39.211999855041505,11.21100016593933,37.211999855041505,20.103000020980836,37.87866676012675,16.100999927520753,24.211999855041505,42.211999855041505,38.212000093460084,37.211999855041505
WOA_Broker Trial 8,10.297330709196231,43.113000020980834,2.57516666094462,0.745961130226647,50.0,2,2,2,1,2,1,2,2,1,2,3,1,9,1,9,25.212000093460084,31.601999855041505,30.545333188374837,21.212000093460084,39.211999855041505,28.713000020980836,39.211999855041505,42.21400018692017,2.210999927520752,40.213000020980836,37.212000093460084,43.21399994850159,38.213000020980836,37.212000093460084,26.212000093460084
WOA_Broker Trial 9,8.573322798256656,43.112999782562255,2.3560062520503995,0.652600146831087,50.0,2,2,1,3,2,2,2,2,2,3,3,7,1,6,2,39.21399994850159,29.103000020980836,16.545333188374837,27.962999782562257,27.212000093460084,27.64125,34.212000093460084,32.101999855041505,26.212000093460084,22.87866676012675,21.101000165939332,43.21399994850159,16.210999927520753,42.213000020980836,16.210999927520753
WOA_Broker Trial 10,9.57976806923959,43.11099992752075,2.225291663805643,0.7240791873128835,50.0,2,2,2,1,2,3,1,3,6,2,7,1,3,2,3,39.212000093460084,31.712000093460084,35.213000020980836,21.212000093460084,15.210999927520751,40.713000020980836,25.211999855041505,39.102000093460084,33.712000093460084,34.87866676012675,43.211999855041505,26.210999927520753,42.213000020980836,30.212000093460084,10.210999927520751
