Trial ID,DOI,Makespan,Avg. Response Time,Mean Utilization,Avg. Iteration Count,Num. Cloudlets VM-0,Num. Cloudlets VM-1,Num. Cloudlets VM-2,Num. Cloudlets VM-3,Num. Cloudlets VM-4,Num. Cloudlets VM-5,Num. Cloudlets VM-6,Num. Cloudlets VM-7,Num. Cloudlets VM-8,Num. Cloudlets VM-9,Num. Cloudlets VM-10,Num. Cloudlets VM-11,Num. Cloudlets VM-12,Num. Cloudlets VM-13,Num. Cloudlets VM-14,Num. Cloudlets VM-15,Num. Cloudlets VM-16,Num. Cloudlets VM-17,Num. Cloudlets VM-18,Num. Cloudlets VM-19,Processing Time VM-0,Processing Time VM-1,Processing Time VM-2,Processing Time VM-3,Processing Time VM-4,Processing Time VM-5,Processing Time VM-6,Processing Time VM-7,Processing Time VM-8,Processing Time VM-9,Processing Time VM-10,Processing Time VM-11,Processing Time VM-12,Processing Time VM-13,Processing Time VM-14,Processing Time VM-15,Processing Time VM-16,Processing Time VM-17,Processing Time VM-18,Processing Time VM-19
MWOA_Broker Trial 1,13.391590136180163,49.103000020980836,0.23081904761904748,0.6321670773348153,50.0,2,2,2,1,3,4,2,1,2,1,5,1,1,4,1,2,6,1,8,1,21.601999855041505,27.152000093460085,32.2473335202535,22.287000093460083,44.16399994850159,42.24633335431417,40.20300002098084,24.411999855041504,38.20300002098084,39.34733328183492,48.238999948501586,23.412000093460083,29.203000020980838,49.20399994850159,3.2609999275207517,10.402000093460083,35.60399994850159,37.51300002098083,46.81300002098084,5.311000165939331
MWOA_Broker Trial 2,13.534166048988498,49.4119998550415,0.23166190476190437,0.67479511604445,50.0,2,2,3,2,3,2,2,1,2,2,1,2,7,1,4,1,9,1,1,2,30.612000093460082,32.26200009346008,47.169666687647506,33.262999782562254,48.12300002098084,38.24633311589559,37.14485723631723,11.411999855041502,44.363000020980834,35.3796666876475,10.287000093460081,46.70300002098084,45.613999948501586,7.310999927520752,43.228000020980836,16.412000093460083,49.512999782562254,34.61200009346008,14.401999855041504,40.80200009346009
MWOA_Broker Trial 3,17.077040788100998,49.41400018692016,0.209552380952381,0.492293632236529,50.0,1,2,2,1,1,1,1,2,1,1,1,7,0,10,7,1,8,1,1,1,32.202000093460086,48.26499987602234,47.169666687647506,18.15499987602234,12.23100016593933,8.244333499272663,9.226285569327217,23.413999948501587,24.20399994850159,3.16866676012675,7.175999927520752,46.81399994850159,-1.0,44.20500011444092,39.20300002098084,41.20300002098084,49.514000186920164,14.403999948501587,13.413999948501585,5.311000165939331
MWOA_Broker Trial 4,14.7529071240023,49.415000114440915,0.24552857142857143,0.46441474668464167,50.0,1,2,2,2,2,1,1,1,1,7,1,3,1,2,2,1,12,0,7,1,26.202000093460086,36.263999948501585,41.24633311589559,34.20300002098084,37.16399994850159,16.137333520253502,21.173428664888657,20.202000093460086,29.20400018692017,28.201999855041507,17.286999855041504,13.413000020980833,22.363000020980834,4.310999927520752,7.175999927520752,1.410999927520752,48.20500011444092,-1.0,49.51600004196167,6.300999927520752
MWOA_Broker Trial 5,13.215031059072299,49.10299978256226,0.2309714285714284,0.721989058120323,50.0,1,2,3,3,2,2,1,3,2,2,1,1,3,6,0,8,3,3,1,3,32.202000093460086,41.26300002098083,48.24733328183492,47.264000186920164,37.16199985504151,46.20399994850159,13.24057152203151,28.403000020980837,42.20300002098084,49.20399994850159,11.150999927520752,29.412000093460083,44.363999948501586,45.48066661516825,-1.0,43.60399994850159,34.6119998550415,39.613000020980834,40.80399994850159,35.603000020980836
MWOA_Broker Trial 6,8.94217574745774,49.06399994850159,0.2261999999999999,0.7590478041593487,50.0,1,2,2,2,2,2,2,2,2,1,2,1,1,12,1,7,2,1,4,1,32.20300002098084,48.263999948501585,41.2473335202535,42.26300002098083,49.16499987602234,23.13533342679342,43.28542851993016,47.30400018692017,44.363999948501586,29.279666687647502,39.20399994850159,33.30300002098084,34.30300002098084,21.268666521708173,25.201999855041507,46.015000114440916,46.81299978256226,38.30300002098084,37.51300002098083,22.403000020980837
MWOA_Broker Trial 7,12.897981701605811,49.101999855041505,0.21949809336889345,0.7164385720130849,50.0,1,2,3,2,2,2,2,2,2,3,1,2,1,3,3,1,8,1,7,2,26.20299978256226,41.26300002098083,48.24733328183492,39.20300002098084,47.253000020980835,23.13533318837484,46.233999948501584,46.013999948501585,42.20399994850159,38.169666687647506,7.177000093460083,34.6119998550415,29.203000020980838,49.20300002098084,35.228000020980836,0.4010001659393311,44.51300002098083,33.30300002098084,28.402000093460085,43.603000020980836
MWOA_Broker Trial 8,6.754499526685821,49.41300002098083,0.20957619047619022,0.7911338636656345,50.0,2,2,3,2,2,2,2,2,1,3,2,3,2,6,4,3,1,3,3,2,41.20300002098084,42.20300002098084,47.169666687647506,33.26300002098083,44.16300002098084,37.265000114440916,45.3282856627873,43.603000020980836,28.363000020980834,27.13533318837484,35.227000093460084,34.613000020980834,39.30399994850159,38.17166654268901,40.38800002098083,48.20300002098084,29.412000093460083,49.513999948501585,46.70399994850159,30.613000020980834
MWOA_Broker Trial 9,9.967683034811369,49.060999927520754,0.19350476190476226,0.7454226089235103,50.0,1,2,2,1,3,2,3,2,1,1,3,2,4,2,6,7,1,3,3,1,32.20199985504151,48.264000186920164,44.20500011444092,28.287000093460083,49.16300002098084,43.18933313687643,23.240571522031512,37.51300002098083,39.30299978256226,31.270666615168256,41.238000020980834,47.30299978256226,11.312000093460082,46.30400018692017,45.30499987602234,38.30300002098084,40.80300002098084,36.20300002098084,22.401999855041506,25.613000020980834
MWOA_Broker Trial 10,14.470148647416785,49.07800002098084,0.2229571428571424,0.6410128964169057,50.0,1,2,3,3,1,1,2,4,2,4,1,3,2,1,6,6,1,3,3,1,26.20299978256226,47.20399994850159,48.24733328183492,49.17800002098084,25.294000186920165,21.295333188374837,45.32728573526655,44.513999948501585,43.353000020980836,35.37866652170817,17.286999855041504,14.401000165939331,6.312000093460083,7.3119998550415035,46.363000020980834,39.61200009346008,40.80300002098084,38.30399994850159,22.402000093460085,10.402000093460083
